0x003e0000|应用使用（异常、无响应）
0x003e0001|系统使用（卡顿、黑屏）
0x003e0002|蜂窝网络（SIM卡，上网、通话、信号等）
0x003e0003|其它网络（WIFI、蓝牙等）
0x003e0004|电池（充电、发热、电量异常）
0x003e0005|声音（音乐、视频、通话音等）
0x003e0006|相机（拍照与图库）
0x003e0007|建议（用户体验与建议）
0x003e0008|其他
0x003effff|feedback抓取bugreport
0x007a0000|watchdog wait half超时
0x007a0001|watchdog 超时，产生SWT
0x007a0002|移动activity到PinnedStack时候出现异常
0x007a0003|创建Notification Channel时候出现IllegalArgumentException
0x007a0004|启动activity时候，对应的reusedActivity的TaskRecord为空
0x007a0005|anr,处理广播消息超时
0x007a0006|systemserver binder线程耗尽
0x007a0007|由于启动contentprovider导致的应用anr
0x007a0008|anr,contentprovider anr
0x007a0009|anr,输入事件超时
0x007a000a|anr,处理service超时
0x007a000b|systemserver解析packages.xml时候出现异常
0x007a000c|发送给systemserver的binder请求数据太大，超过总大小的3/4
0x007a000d|systemserver的binder buffer内存耗尽
0x007a000e|systemserver的异步binder buffer耗尽
0x007a000f|hang detect时候抓取systemserver backtrace
0x007a0010|hang detect时候抓取systemserver coredump
0x007a0011|检测到有进程发送kill信号给systemserver
0x007a0012|触发了oom killer流程优化方案，方案会跳过kill systemserver
0x007a0013|检测到多次非法指令异常，删除非法指令页
0x007a0014|检测到有应用进程的ion内存超标，需要杀死对应进程
0x007a0015|收集售后埋点数据
0x007a0016|收集权限导致的JE
0x007a0017|ActivityClientRecord 为空
0x007a0018|statusbar的window被remove掉了
0x007a0019|TNE 抓取 GmsCore报错的dex文件
0x007a001a|检测到有进程发送kill信号给mtklog
0x007a001b|native heap size > 300M
0x007a0020|hang detect debug信息输出
0x007a0021|binder 退出卡住信息输出
0x007a0022|fuse wait_event 超时10m 埋点输出1
0x007a0023|fuse wait_event 超时10m 埋点输出2
0x007a0024|windowhandleinfo数据过大，造成溢出，触发hprof埋点
0x007a0025|buffer丢失异常埋点
0x007a0026|llkd anomaly detected (process on state R Z D)
0x007a0027|user_setup_complete和device_provisioned状态改变埋点
0x007a0028|OOM时抓取mem信息
0x007a0029|zygote短时间频繁异常被kill
0x007a0030|broadcast binder异常抓取trace
0x007a002a|长按5秒触发tne
0x007a002b|zygote的SigChldHandler方法中的死亡埋点
0x007a0031|1分钟内2次切换多用户
0x007a0032|界面疑似泄露，抓取dump信息
0x007a0033|apex dm verity
0x007a0034|binder oneway block,kill process
0x007a0035|binder oneway spamming warring server
0x007a0036|binder oneway spamming warring client
